id,racun,znesek,cas,opis
1,209,-38,2026-02-19 19:16:29,"Rich cream extracted from coconut milk, ideal for desserts."
2,675,-12,2026-01-10 02:38:52,Battery-operated air purifier for small spaces.
3,451,-58,2026-04-10 14:51:37,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals."
4,91,37,2025-10-06 19:36:04,Vegan sushi filled with spicy vegetables and avocado.
5,270,-238,2025-06-30 08:54:56,Set of decorative pillow covers to enhance your home decor.
6,415,21,2025-05-15 14:21:37,Floating bookshelf to display your favorite books.
7,999,-74,2026-02-09 12:02:20,"Shredded potatoes, perfect for breakfasts."
8,966,-40,2025-10-29 23:59:18,Cordless electric knife for effortless slicing.
9,29,-13,2026-04-23 14:43:45,An elegant jumpsuit that can be dressed up or down.
10,808,46,2025-11-09 00:02:33,A healthy mix of assorted dried fruits and nuts for snacking.
11,354,128,2025-07-27 11:26:52,Essential tools for bike maintenance and repair.
12,567,165,2025-06-29 23:02:54,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil."
13,162,-212,2025-06-05 12:10:10,Stone-ground mustard infused with craft beer for a gourmet touch.
14,696,-127,2025-12-04 23:06:54,Nutritious and quick-cooking red lentils.
15,420,139,2025-10-17 19:38:35,Adjustable weighted jump rope for workouts.
16,251,-167,2025-06-24 08:21:58,"Healthy whole grain cereal, great for breakfast."
17,804,21,2026-04-08 04:18:05,Freshly baked artisan bread with a crisp crust and soft center.
18,709,-51,2025-11-13 08:46:07,Automated cleaning robot for hassle-free home maintenance.
19,468,54,2026-03-17 20:38:59,"Compact towels that expand when wet, ideal for travel."
20,346,-161,2025-05-15 17:38:27,Fresh sushi rolls filled with a variety of vegetables.
21,946,-80,2026-03-10 22:29:21,Convenient hooks that utilize door space for hanging items.
22,238,53,2026-03-10 23:49:35,Eco-friendly solar lights for pathways and gardens.
23,665,116,2026-02-13 08:20:11,"Light and crispy chips made from quinoa, ideal for dipping."
24,937,-51,2026-02-14 12:42:00,Hanging bird feeder for backyard birds.
25,200,-18,2025-10-11 05:46:32,1080p HD video camera with night vision.
26,700,-139,2025-08-22 14:56:54,Spicy salsa made with black beans and tomatoes.
27,67,-72,2025-12-30 10:55:13,"Customizable RGB LED light strip, perfect for mood lighting."
28,502,73,2025-10-01 10:07:02,A sleek leather wallet that combines style and functionality.
